index,pv,npv,bs,wet,water,veg_areas,overall_veg_num,norm_bs,norm_pv,norm_npv,off_value
0,0.30215930304915994,0.36202862476664593,0.08138353038788633,0.11449906658369632,0.12860402406139804,0.7568969093549056,0.7455714582036922,0.08261977030530748,0.30674919230647246,0.36752794674312567,0
1,0.3269798796930098,0.36909562331466506,0.09540759178593654,0.07114706492428957,0.12528521053723293,0.8035677245384775,0.7914830947936113,0.09686430694405754,0.33197231832638485,0.3747310992680351,0
2,0.3007799211781788,0.3673096867869737,0.08486621032980711,0.07716241443683883,0.15847334577888406,0.7643642397842771,0.7529558182949596,0.08615206200147084,0.3053371927111815,0.3728749850716248,0
3,0.28829455754050687,0.3563917739925218,0.07036975488159534,0.12692147901952638,0.14748649771499792,0.7255920232654758,0.715056086414624,0.0714066124200857,0.2925424106955246,0.36164300014986545,0
5,0.25967434142294127,0.32854594482472516,0.08684505289359054,0.1663555278987762,0.14872433105164903,0.6849201410495748,0.675065339141257,0.08811284245907529,0.26346514365647217,0.3333421549340273,0
7,0.32537232939224225,0.3529060360920971,0.07583696328562539,0.10495747770172163,0.12922630159717902,0.7658162207010993,0.7541153287699648,0.07701365347867305,0.33042082306204995,0.35838174416037627,0
12,0.35731383530387884,0.3107114706492429,0.08475834889027173,0.0875337066998548,0.1472723501348268,0.7651939431653184,0.7527836548433935,0.08615566343164206,0.3632044622974424,0.31583381743623395,0
13,0.3641671852312798,0.29623936942543044,0.08705247873885087,0.09769757311761046,0.14250155569383946,0.75980087118855,0.7474590333955611,0.08848986530329143,0.37018021354299363,0.3011307923422649,0
14,0.3721987139597594,0.2744513586392865,0.0763576021572288,0.11864758348890271,0.1462352209085252,0.7351171956025722,0.7230076747562746,0.07763650141014193,0.37843260087829067,0.27904809331413966,0
15,0.3740875912408759,0.24645672575599584,0.09244421272158498,0.16996871741397288,0.10531803962460896,0.7247132429614181,0.7129885297184567,0.09396440812439169,0.38023926066083336,0.25050957417619313,0
21,0.37244762497407174,0.25526861646961213,0.09599875544492843,0.09624559220078822,0.1676000829703381,0.7361543248288737,0.7237149968886123,0.09764879725139966,0.37884931371555436,0.25965621386191967,0
22,0.362514001244555,0.2688612321095208,0.09440779921178179,0.10578718108276292,0.15619166148102054,0.7380211574362165,0.7257830325658576,0.09599969979866235,0.36862669803604653,0.2733947596015076,0
23,0.34240530303030303,0.21458122895622894,0.21431607744107742,0.10816498316498316,0.10858585858585859,0.7832491582491583,0.7713026094276093,0.2176355754579359,0.3477087489403907,0.21790483385083184,0
28,0.3450204520990312,0.28216792249730893,0.11188374596340152,0.12292787944025835,0.12508073196986005,0.7519913885898817,0.7390721205597417,0.11383951734498542,0.3510515437510497,0.2871003274938465,0
31,0.364955403443269,0.32768512756689483,0.09243103090645095,0.05455299730346401,0.14747977598008713,0.7979672267164489,0.7850715619166148,0.09394931235937065,0.37095019777539706,0.3330677165816813,0
32,0.37865173200580793,0.3479381870981124,0.08445550715619166,0.03381041277743207,0.14229412984857914,0.8238954573739888,0.811045426260112,0.08579360223638913,0.38465100945693,0.3534508456806697,0
33,0.3837025513378967,0.3548392449699232,0.09041485169052065,0.03360298693217175,0.12445550715619166,0.8419415059116365,0.8289566479983406,0.09183111875983967,0.3897129055851573,0.36039748156663953,0
36,0.34236465463596766,0.3552872847956855,0.10371914540551752,0.06181290188757519,0.12424808131093135,0.8139390168014935,0.8013710848371707,0.10534577654746734,0.3477339720069931,0.36085926824703307,0
38,0.2917011062408683,0.344694218326028,0.08399499060738887,0.1269046128156961,0.1419327906491338,0.7311625965351701,0.7203903151742852,0.08525100092938878,0.2960630282760748,0.34984856732970654,0
39,0.2869549885915785,0.3408525202240199,0.0888280439742792,0.13399709603816637,0.13856046463389338,0.7274424393279403,0.7166355527898776,0.09016757365417151,0.291282278789738,0.3459925868840308,0
44,0.4332275461522506,0.399759386019498,0.06916822236050613,0.054760423148724334,0.027587637419622484,0.9176519394316532,0.9021551545322548,0.0703563606296382,0.4406693194009957,0.4066262594010193,0
46,0.45064716863721216,0.4273283551130471,0.10340593237917446,0.0020742584526031943,0.0008297033810412777,0.9970960381663555,0.9813814561294338,0.1050617421535774,0.4578632535316489,0.43417104248112914,0
