ROI_name,year,tot_pixels,lc_level,class_value,class_label,class_pixels,area_m2,area_km2,ha
QuinnsRocks_WA,2020,147549,level3,112,Natural Terrestrial Vegetation,27072,24364800,24.3648,2436.48
QuinnsRocks_WA,2021,147549,level3,112,Natural Terrestrial Vegetation,26839,24155100,24.1551,2415.51
QuinnsRocks_WA,2022,147549,level3,112,Natural Terrestrial Vegetation,24433,21989700,21.9897,2198.97
QuinnsRocks_WA,2023,147549,level3,112,Natural Terrestrial Vegetation,24051,21645900,21.6459,2164.59
QuinnsRocks_WA,2000,147549,level3,215,Artificial Surface,6853,6167700,6.1677,616.77
QuinnsRocks_WA,2001,147549,level3,215,Artificial Surface,7773,6995700,6.9957,699.57
QuinnsRocks_WA,2002,147549,level3,215,Artificial Surface,9967,8970300,8.9703,897.03
QuinnsRocks_WA,2003,147549,level3,215,Artificial Surface,11043,9938700,9.9387,993.87
QuinnsRocks_WA,2004,147549,level3,215,Artificial Surface,12492,11242800,11.2428,1124.28
QuinnsRocks_WA,2005,147549,level3,215,Artificial Surface,13360,12024000,12.024,1202.4
QuinnsRocks_WA,2006,147549,level3,215,Artificial Surface,14178,12760200,12.7602,1276.02
QuinnsRocks_WA,2007,147549,level3,215,Artificial Surface,16137,14523300,14.5233,1452.33
QuinnsRocks_WA,2008,147549,level3,215,Artificial Surface,15679,14111100,14.1111,1411.11
QuinnsRocks_WA,2009,147549,level3,215,Artificial Surface,17511,15759900,15.7599,1575.99
QuinnsRocks_WA,2010,147549,level3,215,Artificial Surface,17365,15628500,15.6285,1562.85
QuinnsRocks_WA,2011,147549,level3,215,Artificial Surface,17375,15637500,15.6375,1563.75
QuinnsRocks_WA,2012,147549,level3,215,Artificial Surface,20117,18105300,18.1053,1810.53
QuinnsRocks_WA,2013,147549,level3,215,Artificial Surface,20990,18891000,18.891,1889.1
QuinnsRocks_WA,2014,147549,level3,215,Artificial Surface,22054,19848600,19.8486,1984.86
QuinnsRocks_WA,2015,147549,level3,215,Artificial Surface,24508,22057200,22.0572,2205.72
QuinnsRocks_WA,2016,147549,level3,215,Artificial Surface,27371,24633900,24.6339,2463.39
QuinnsRocks_WA,2017,147549,level3,215,Artificial Surface,26051,23445900,23.4459,2344.59
QuinnsRocks_WA,2018,147549,level3,215,Artificial Surface,26999,24299100,24.2991,2429.91
QuinnsRocks_WA,2019,147549,level3,215,Artificial Surface,26863,24176700,24.1767,2417.67
QuinnsRocks_WA,2020,147549,level3,215,Artificial Surface,26329,23696100,23.6961,2369.61
QuinnsRocks_WA,2021,147549,level3,215,Artificial Surface,26625,23962500,23.9625,2396.25
QuinnsRocks_WA,2022,147549,level3,215,Artificial Surface,27420,24678000,24.678,2467.8
QuinnsRocks_WA,2023,147549,level3,215,Artificial Surface,28969,26072100,26.0721,2607.21
QuinnsRocks_WA,2000,147549,level3,216,Natural Bare Surface,4082,3673800,3.6738,367.38
QuinnsRocks_WA,2001,147549,level3,216,Natural Bare Surface,5812,5230800,5.2308,523.08
QuinnsRocks_WA,2002,147549,level3,216,Natural Bare Surface,4498,4048200,4.0482,404.82
QuinnsRocks_WA,2003,147549,level3,216,Natural Bare Surface,4225,3802500,3.8025,380.25
QuinnsRocks_WA,2004,147549,level3,216,Natural Bare Surface,5870,5283000,5.283,528.3
QuinnsRocks_WA,2005,147549,level3,216,Natural Bare Surface,6079,5471100,5.4711,547.11
QuinnsRocks_WA,2006,147549,level3,216,Natural Bare Surface,4947,4452300,4.4523,445.23
QuinnsRocks_WA,2007,147549,level3,216,Natural Bare Surface,6611,5949900,5.9499,594.99
QuinnsRocks_WA,2008,147549,level3,216,Natural Bare Surface,5389,4850100,4.8501,485.01
QuinnsRocks_WA,2009,147549,level3,216,Natural Bare Surface,5352,4816800,4.8168,481.68
QuinnsRocks_WA,2010,147549,level3,216,Natural Bare Surface,4556,4100400,4.1004,410.04
QuinnsRocks_WA,2011,147549,level3,216,Natural Bare Surface,5051,4545900,4.5459,454.59
QuinnsRocks_WA,2012,147549,level3,216,Natural Bare Surface,4574,4116600,4.1166,411.66
QuinnsRocks_WA,2013,147549,level3,216,Natural Bare Surface,4506,4055400,4.0554,405.54
QuinnsRocks_WA,2014,147549,level3,216,Natural Bare Surface,5015,4513500,4.5135,451.35
QuinnsRocks_WA,2015,147549,level3,216,Natural Bare Surface,4128,3715200,3.7152,371.52
QuinnsRocks_WA,2016,147549,level3,216,Natural Bare Surface,1091,981900,0.9819,98.19
QuinnsRocks_WA,2017,147549,level3,216,Natural Bare Surface,2062,1855800,1.8558,185.58
QuinnsRocks_WA,2018,147549,level3,216,Natural Bare Surface,1743,1568700,1.5687,156.87
QuinnsRocks_WA,2019,147549,level3,216,Natural Bare Surface,1769,1592100,1.5921,159.21
QuinnsRocks_WA,2020,147549,level3,216,Natural Bare Surface,2819,2537100,2.5371,253.71
QuinnsRocks_WA,2021,147549,level3,216,Natural Bare Surface,2560,2304000,2.304,230.4
QuinnsRocks_WA,2022,147549,level3,216,Natural Bare Surface,3160,2844000,2.844,284.4
QuinnsRocks_WA,2023,147549,level3,216,Natural Bare Surface,2779,2501100,2.5011,250.11
