ROI_name,year,tot_pixels,lc_level,class_value,class_label,class_pixels,area_m2,area_km2,ha
QuinnsRocks_WA,2000,147549,level3,112,Natural Terrestrial Vegetation,43904,39513600,39.5136,3951.36
QuinnsRocks_WA,2001,147549,level3,112,Natural Terrestrial Vegetation,36342,32707800,32.7078,3270.78
QuinnsRocks_WA,2002,147549,level3,112,Natural Terrestrial Vegetation,36778,33100200,33.1002,3310.02
QuinnsRocks_WA,2003,147549,level3,112,Natural Terrestrial Vegetation,39324,35391600,35.3916,3539.16
QuinnsRocks_WA,2004,147549,level3,112,Natural Terrestrial Vegetation,35081,31572900,31.5729,3157.29
QuinnsRocks_WA,2005,147549,level3,112,Natural Terrestrial Vegetation,34983,31484700,31.4847,3148.47
QuinnsRocks_WA,2006,147549,level3,112,Natural Terrestrial Vegetation,36610,32949000,32.949,3294.9
QuinnsRocks_WA,2007,147549,level3,112,Natural Terrestrial Vegetation,33086,29777400,29.7774,2977.74
QuinnsRocks_WA,2008,147549,level3,112,Natural Terrestrial Vegetation,34399,30959100,30.9591,3095.91
QuinnsRocks_WA,2009,147549,level3,112,Natural Terrestrial Vegetation,33618,30256200,30.2562,3025.62
QuinnsRocks_WA,2010,147549,level3,112,Natural Terrestrial Vegetation,34559,31103100,31.1031,3110.31
QuinnsRocks_WA,2011,147549,level3,112,Natural Terrestrial Vegetation,34125,30712500,30.7125,3071.25
QuinnsRocks_WA,2012,147549,level3,112,Natural Terrestrial Vegetation,30302,27271800,27.2718,2727.18
QuinnsRocks_WA,2013,147549,level3,112,Natural Terrestrial Vegetation,30558,27502200,27.5022,2750.22
QuinnsRocks_WA,2014,147549,level3,112,Natural Terrestrial Vegetation,29576,26618400,26.6184,2661.84
QuinnsRocks_WA,2015,147549,level3,112,Natural Terrestrial Vegetation,27834,25050600,25.0506,2505.06
QuinnsRocks_WA,2016,147549,level3,112,Natural Terrestrial Vegetation,27693,24923700,24.9237,2492.37
QuinnsRocks_WA,2017,147549,level3,112,Natural Terrestrial Vegetation,28179,25361100,25.3611,2536.11
QuinnsRocks_WA,2018,147549,level3,112,Natural Terrestrial Vegetation,27861,25074900,25.0749,2507.49
QuinnsRocks_WA,2019,147549,level3,112,Natural Terrestrial Vegetation,28072,25264800,25.2648,2526.48
