Site,Latitude,Longitude,Path,Row,landsat_8,landsat_8_2,sentinel_2a,sentinel_2a_2,sentinel_2b,sentinel_2b_2
Blanchetown,-34.206,139.63,97,84,1/12/2019 0:27,,10/12/2019 0:42,,8/12/2019 0:39,11/12/2019 0:49
Dharawal,-34.151,150.5532,89,84,15/12/2019 23:43,8/12/2019 23:44,8/12/2019 0:01,,5/12/2019 23:59,
Dookie,-36.385,145.71899,93,85,5/12/2019 0:02,13/12/2019 0:03,11/12/2019 0:12,4/12/2019 0:22,2/12/2019 0:20,
Fowlers_Gap,-31.066,141.751,96,81,10/12/2019 0:19,17/12/2019 0:25,10/12/2019 0:41,17/12/2019 0:32,18/12/2019 0:38,
Lake_George,-35.094,149.463,90,84,29/11/2019 23:43,,20/12/2019 23:58,,15/12/2019 23:58,
Lake_Lefroy,-31.342,121.647,109,82,5/12/2019 1:40,,11/12/2019 1:52,14/12/2019 2:02,22/12/2019 1:58,
Mitchell_Downs,-23.517,144.317,96,76,10/12/2019 0:17,,17/12/2019 0:30,,18/12/2019 0:36,
Mullion,-35.123,148.862,91,84,29/11/2019 23:43,20/11/2019 23:49,20/12/2019 23:58,14/12/2019 0:07,15/12/2019 23:58,19/12/2019 0:07
Narrabundah,-35.334,149.145,90,85,29/11/2019 23:43,20/11/2019 23:49,20/12/2019 23:58,,15/12/2019 23:58,
Pinnacles,-30.585,115.155,113,81,8/12/2019 2:11,,20/12/2019 2:23,,21/12/2019 2:28,18/12/2019 2:19
Tumbarumba,-35.657,148.152,91,85,6/12/2019 23:50,,18/12/2019 0:03,11/12/2019 0:12,19/12/2019 0:09,
Winton,-22.523,142.937,96,76,1/12/2019 0:23,25/12/2019 0:22,20/12/2019 0:40,,18/12/2019 0:36,
