id,x,y
5512,128.230125677847,-14.7112454138475
5514,128.637154905503,-14.7243241495292
5518,128.314031587775,-14.7418386986841
5519,128.321657788791,-14.7431203294153
5520,128.332955587305,-14.756328067569
5521,128.32555527318,-14.7569464086137
5522,128.313937337282,-14.7624621830531
5523,128.301886681835,-14.7537266638495
5524,128.297898096726,-14.7452760190339
5525,128.2975254946,-14.7359177007829
5589,128.623450611148,-14.797260967687
5646,128.150364504331,-14.8454441697517
5647,128.160108035422,-14.850226090894
5648,128.143914853114,-14.8568081417148
5658,128.125821296328,-14.8582993602557
5659,128.135974461709,-14.8565139022544
5660,128.120701212857,-14.8609614901144
5664,128.414408636566,-14.8713541253534
5665,128.400668378508,-14.8650723281109
5666,128.407227364771,-14.85735723383
5667,128.4180783953,-14.8702429412208
5673,128.434398379374,-14.8772116463609
5674,128.429575789352,-14.8642394373402
5675,128.441659189567,-14.8766523950125
5679,128.450601250226,-14.8860827085746
5680,128.464353295536,-14.8968693669792
5681,128.47261691909,-14.9117400547702
5682,128.467026059676,-14.9282789267615
5683,128.45525598997,-14.9160153088295
5684,128.446935311999,-14.9006945559094
5685,128.443215688542,-14.8839259811038
5700,128.128883381631,-14.8961387783586
5701,128.125737048589,-14.904974980023
5702,128.403649525606,-14.9141800244569
5703,128.399138342838,-14.8978041909884
5704,128.405792675068,-14.9052138193318
5705,128.409180274884,-14.9222659300632
5712,128.120130128283,-14.9258324081541
5713,128.126367292482,-14.9094141938202
5714,128.130492286281,-14.9139073375342
5715,128.123829866602,-14.9295316276519
5729,128.396028628476,-14.9214722613375
5730,128.395144268723,-14.9088599326479
5731,128.404957146861,-14.9232271535384
5732,128.120234087052,-14.9182585916891
5733,128.123812876574,-14.9139649446567
5791,128.319850944148,-14.9294393668012
5792,128.324742951555,-14.9451114094957
5793,128.324919568398,-14.9625810073689
5794,128.329973155813,-14.9793215619254
5795,128.33661254482,-14.9955402479972
5796,128.343940746957,-15.0113124854777
5797,128.348576380953,-15.0282658513371
5798,128.356452761884,-15.0438625863551
5799,128.347459417391,-15.0527798300723
5800,128.336119629258,-15.0401654438136
5801,128.327454164514,-15.0251942037408
5802,128.321011339083,-15.009005165803
5803,128.313103078727,-14.993336524042
5804,128.301798729663,-14.9799778509007
5805,128.291971509582,-14.9657701929569
5806,128.294489867802,-14.9483840010748
5807,128.300896460599,-14.9340021722047
5817,128.12252294423,-14.9341232655985
5818,128.123765554957,-14.9458302716885
5962,128.140234343787,-15.0477989266418
5963,128.152480319272,-15.051636828637
5964,128.155046701524,-15.0675205225237
5965,128.158254457114,-15.0847297270177
5966,128.16595229963,-15.1003451322627
5967,128.178382851414,-15.112677676121
5968,128.192943391017,-15.1219296781157
5969,128.202471732858,-15.135740868439
5970,128.198219395374,-15.1522312616285
5977,128.129478934885,-15.1574125024933
5978,128.121013818537,-15.1436645189631
5981,128.12557442749,-15.0981194158156
5982,128.125293449799,-15.0822497318955
5983,128.128915597669,-15.0653979905315
5984,128.123576314797,-15.0493017624869
5985,128.132230419263,-15.0435722587133
6035,128.194832292228,-15.1010460367875
20542,128.754303780614,-14.8352127208796
20543,128.741249027034,-14.8462568811606
20544,128.736899506483,-14.8408457654036
20545,128.725703579094,-14.8301296018634
20546,128.720629748906,-14.8218318314601
20547,128.71198048347,-14.8133006051909
20548,128.696692888482,-14.804791386875
20549,128.683136986146,-14.7975472306259
20550,128.665472714384,-14.7961054680975
20551,128.64774243255,-14.7934737166356
20552,128.630717213862,-14.787956500636
20553,128.613023451286,-14.7879660775856
20554,128.620525350046,-14.7925308195873
20555,128.633765069103,-14.803887664168
20556,128.624360853158,-14.8053175570858
20557,128.614532044203,-14.800637663768
