xxx_uid, date_time, pc_missing, bs, pv, npv, wet, water, total
2019V6_356681, 2005-06-12T09:59:45+10:00,0.0909,0.003,1.053,0.166,0,0,1.222
2019V6_189790, 2005-09-04T09:36:25+10:00,0.0909,0,1.044,0.17,0,0,1.214
2019V6_370956, 2003-09-02T09:55:40+10:00,0.0769,0.1417,0.8783,0.1917,0,0,1.2117
2019V6_343540, 2004-11-27T09:39:47+10:00,0,0.1018,0.6164,0.4864,0,0,1.2046
2019V6_097129, 2005-02-27T10:03:33+10:00,0,0,1.0545,0.1465,0,0,1.201
2019V6_000530, 2003-08-01T09:55:07+10:00,0.0667,0.1157,1,0.0807,0,0,1.1964
2019V6_000530, 2003-08-01T09:54:43+10:00,0.0667,0.1157,1,0.0807,0,0,1.1964
2019V6_367368, 2009-06-10T10:29:44+10:00,0,0.0227,1.0755,0.0982,0,0,1.1964
2019V6_367368, 2009-06-10T10:29:20+10:00,0,0.0227,1.0755,0.0982,0,0,1.1964
2019V6_291311, 2008-03-03T10:33:47+10:00,0.0714,0.0454,1.0054,0.1385,0,0,1.1893
