ls9_wo_id,region_code,date,ls7_wo_id,ls9_id,ls9_time,ls7_id,ls7_time
59886902-82a5-51ae-9580-e5589fab2be3,109083,2021-10-31,c487cdf8-055e-582b-a780-122d216b6471,e3f2d927-b99a-47f9-b0e1-bc98083c79f7,2021-10-31 01:45:20.509751+00:00,afa88c29-6e73-47d1-a843-bc1b361f7572,2021-10-31 00:40:26.560040+00:00
84688c34-f8f1-5208-9cdb-52b6bc24d72b,109070,2021-10-31,f46ef7b4-9c4c-52dd-8b85-405483384b53,a2d313d4-4e98-4b70-808a-d7174a356266,2021-10-31 01:40:09.397030+00:00,e073acfa-aa5a-4e43-93b3-2d953b0cde60,2021-10-31 00:35:15.684556+00:00
64bd6f18-8dbb-5669-8698-49bab19f8c85,109072,2021-10-31,e97d0b8b-208b-56ab-bd2e-1996a7d223ed,8d7699f2-3cb8-4d7f-b816-322f3049cc61,2021-10-31 01:40:57.212336+00:00,8e294d23-5ab3-4e15-8cdb-5fb0eff9aaee,2021-10-31 00:36:03.543621+00:00
89269937-7753-5d8e-9544-ffb7e364d7c1,109081,2021-10-31,df1254f4-b4f1-5d88-86d3-07de42032afc,3e5e8495-1767-460b-81b7-88a2c155a4e9,2021-10-31 01:44:32.605354+00:00,8985c35c-d1e7-48f1-a925-45a18ae4ce7f,2021-10-31 00:39:38.796364+00:00
0db3dcb9-d566-5b69-bad2-fedf1ee161c6,109073,2021-10-31,6740c9ef-fd2c-5e11-a59b-232931603dfb,11771e0f-176c-4316-b5e7-b524837d5c6b,2021-10-31 01:41:21.119257+00:00,bcc5677a-213f-4dc4-ac33-3900065a2f22,2021-10-31 00:36:27.431411+00:00
08e3ba7f-3463-5862-95c2-75a66ab75acb,109071,2021-10-31,3ddc6ffb-6522-5618-b9a5-9bd4c0ed4909,3deb11a6-b3ae-4085-9ce1-89d6877fa56f,2021-10-31 01:40:33.288557+00:00,447ce2e2-f2a0-4060-bd7a-e383da7b9304,2021-10-31 00:35:39.667066+00:00
0efbd92c-f4c7-5de4-80b1-783f5fbc485f,109082,2021-10-31,fc310631-375e-5088-aa1f-a6dce926ae53,4a2d4ce2-0ec8-425d-84cd-7695c1da23b7,2021-10-31 01:44:56.549555+00:00,02bc3d6e-2f5d-4e80-9684-4ab13b1839e5,2021-10-31 00:40:02.625804+00:00
295ab2d8-4536-5786-9d0e-6b207049fc0c,100074,2021-11-16,1c4a24ba-b455-5092-88c0-091a28af7874,e49c62a4-9481-41ff-8f84-df1549f46c9c,2021-11-16 00:50:28.405214+00:00,e2299562-3bb1-406e-b0e1-e8413d93443b,2021-11-16 23:39:36.188780+00:00
73f30c40-b305-513a-bbe5-89ab4dcd8f71,100073,2021-11-16,e6514ea2-adc8-55f8-ba82-9eaefc84bab7,f25acc4a-bc72-4a26-affd-1e1905b012ff,2021-11-16 00:50:04.494103+00:00,f77dcb2f-75d4-41dc-b9e2-bb50e0f5fbd2,2021-11-16 23:39:12.337884+00:00
d319efc2-c0a0-5c8e-be60-181b89018fa5,100076,2021-11-16,142338f3-5a8e-5336-97ae-488e4e50504e,5a6f3457-c331-4e2e-b2d1-8e7b7771056d,2021-11-16 00:51:16.216139+00:00,b24c7fad-46e5-442f-aa5e-26ad7d8085b4,2021-11-16 23:40:24.063482+00:00
