SiteName,Lat,Long
Coorong central lagoon 3.2km south Salt Creek,-36.1614,139.6389
Coorong Sub Lagoon 12 Sth Salt Creek,-36.1331,139.6396
Coorong central lagoon 1.8km west Salt Creek,-36.1325,139.6206
Coorong central lagoon @ Snipe Point,-36.1105,139.6046
Coorong central lagoon @ Seagull Island (Policeman’s Point),-36.0851,139.5833
Coorong Sub Lagoon 10 Nth Jack Point,-36.037,139.5497
Coorong central lagoon @ Stoney Well,-35.975,139.5038
Coorong central lagoon @ Villa de Yumpa,-35.9282,139.439
Coorong @ Parnka Point boat ramp,-35.902,139.3959
Coorong @ McGrath Flat north,-35.8689,139.3895
Coorong Sub Lagoon 3 Long Point,-35.6956,139.1626
Coorong Sub Lagoon 1 Tauwitchere,-35.5902,139.0156
